TransactionID,CustomerID,OrderDate,Amount,Email
T102159,CUST00111,23-11-2024,99.91,cust00111@example.com
T101962,CUST00098,16-06-2024,107.18,cust00098@example.com
T100240,CUST00008,13-06-2024,239.88,cust00008@example.com
T102554,CUST00139,29-08-2024,34.34,cust00139@example.com
T101626,CUST00074,14-11-2024,56.07,cust00074@example.com
T103070,CUST00218,16-05-2024,72.4,cust00218@example.com
T100527,CUST00018,24-03-2024,126.48,cust00018@example.com
T102354,CUST00124,12-06-2024,97.92,cust00124@example.com
T103305,CUST00297,29-11-2023,30.77,cust00297@example.com
T101929,CUST00096,02-11-2024,45.19,cust00096@example.com
T102252,CUST00118,23-07-2024,93.54,cust00118@example.com
T100321,CUST00011,09-08-2024,201.48,cust00011@example.com
T101146,CUST00041,22-11-2024,215.56,cust00041@example.com
T100829,CUST00029,16-07-2024,156.88,cust00029@example.com
T102415,CUST00128,21-02-2024,117.12,cust00128@example.com
T102902,CUST00194,20-02-2024,30,cust00194@example.com
T100354,CUST00012,20-07-2024,92,cust00012@example.com
T100809,CUST00029,08-03-2024,99.25,cust00029@example.com
T101242,CUST00045,05-07-2024,211.06,cust00045@example.com
T101614,CUST00074,03-06-2024,66.64,cust00074@example.com
T100239,CUST00008,01-10-2024,110.11,cust00008@example.com
T101362,CUST00054,02-06-2024,89.84,cust00054@example.com
T100964,CUST00034,24-06-2024,129.08,cust00034@example.com
T101414,CUST00058,17-07-2024,82.49,cust00058@example.com
T100463,CUST00016,12-09-2024,179.17,cust00016@example.com
T101483,CUST00063,06-04-2024,40.46,cust00063@example.com
T100203,CUST00007,27-06-2024,232.75,cust00007@example.com
T100194,CUST00007,05-03-2024,137.64,cust00007@example.com
T100978,CUST00034,09-03-2024,164.38,cust00034@example.com
T102516,CUST00135,01-04-2024,41.53,cust00135@example.com
T100314,CUST00011,24-10-2024,222.12,cust00011@example.com
T100790,CUST00028,06-03-2024,106.07,cust00028@example.com
T100139,CUST00005,22-12-2024,245.2,cust00005@example.com
T102873,CUST00189,21-10-2024,55.17,cust00189@example.com
T100602,CUST00021,26-10-2024,110.09,cust00021@example.com
T100291,CUST00009,23-07-2024,86.35,cust00009@example.com
T100030,CUST00001,12-07-2024,183.28,cust00001@example.com
T102314,CUST00122,09-05-2024,119.43,cust00122@example.com
T103136,CUST00232,25-11-2023,48.43,cust00232@example.com
T100611,CUST00021,03-06-2024,215.9,cust00021@example.com
T101609,CUST00073,28-06-2024,83.2,cust00073@example.com
T101057,CUST00038,19-06-2024,148.33,cust00038@example.com
T102943,CUST00201,26-12-2023,72.87,cust00201@example.com
T100761,CUST00026,20-11-2024,132.99,cust00026@example.com
T101181,CUST00043,18-03-2024,138.12,cust00043@example.com
T101641,CUST00075,21-04-2024,107.36,cust00075@example.com
T101723,CUST00080,24-06-2024,48.08,cust00080@example.com
T100322,CUST00011,15-09-2024,192.23,cust00011@example.com
T101509,CUST00066,10-12-2024,101.19,cust00066@example.com
T102655,CUST00155,31-03-2024,54.99,cust00155@example.com
T100134,CUST00005,05-10-2024,240.29,cust00005@example.com
T102634,CUST00152,07-04-2024,72.78,cust00152@example.com
T101576,CUST00071,19-03-2024,41.89,cust00071@example.com
T100969,CUST00034,05-06-2024,160.93,cust00034@example.com
T100032,CUST00001,14-11-2024,91.06,cust00001@example.com
T100501,CUST00017,24-04-2024,171.14,cust00017@example.com
T102639,CUST00153,08-02-2024,72.15,cust00153@example.com
T102761,CUST00174,12-12-2023,30.47,cust00174@example.com
T102909,CUST00195,28-10-2023,48.24,cust00195@example.com
T100070,CUST00003,12-03-2024,211.28,cust00003@example.com
T102474,CUST00132,10-11-2024,82.67,cust00132@example.com
T101094,CUST00039,15-12-2024,119.21,cust00039@example.com
T103081,CUST00220,01-11-2023,82.98,cust00220@example.com
T102176,CUST00112,26-07-2024,62.34,cust00112@example.com
T103075,CUST00219,29-12-2023,81.97,cust00219@example.com
T101041,CUST00037,28-04-2024,214.42,cust00037@example.com
T102183,CUST00113,19-05-2024,64.32,cust00113@example.com
T103244,CUST00273,14-12-2023,46.6,cust00273@example.com
T101927,CUST00096,10-09-2024,78.48,cust00096@example.com
T100838,CUST00029,09-12-2024,178.7,cust00029@example.com
T102118,CUST00109,29-03-2024,46.68,cust00109@example.com
T100387,CUST00013,07-06-2024,110.16,cust00013@example.com
T101067,CUST00038,10-07-2024,98.78,cust00038@example.com
T100052,CUST00002,30-08-2024,239.71,cust00002@example.com
T101575,CUST00071,02-07-2024,47.66,cust00071@example.com
T102673,CUST00159,23-04-2024,41.95,cust00159@example.com
T102553,CUST00139,23-02-2024,86.86,cust00139@example.com
T100017,CUST00001,21-09-2024,169.21,cust00001@example.com
T101501,CUST00065,20-09-2024,78.33,cust00065@example.com
T101703,CUST00078,22-10-2024,80.49,cust00078@example.com
T100325,CUST00011,18-08-2024,205.44,cust00011@example.com
T102922,CUST00197,12-11-2023,79.01,cust00197@example.com
T102115,CUST00109,03-05-2024,52.17,cust00109@example.com
T100718,CUST00025,05-08-2024,101.13,cust00025@example.com
T102103,CUST00108,27-02-2024,95.67,cust00108@example.com
T100478,CUST00016,08-10-2024,244.78,cust00016@example.com
T100817,CUST00029,06-04-2024,147.83,cust00029@example.com
T101441,CUST00060,24-11-2024,47.51,cust00060@example.com
T101632,CUST00074,01-08-2024,93.19,cust00074@example.com
T101783,CUST00084,23-05-2024,90.98,cust00084@example.com
T102819,CUST00181,21-02-2024,51.42,cust00181@example.com
T100479,CUST00016,20-12-2024,168.93,cust00016@example.com
T101395,CUST00056,26-03-2024,106.31,cust00056@example.com
T102030,CUST00103,11-05-2024,55.85,cust00103@example.com
T100170,CUST00006,30-10-2024,195.19,cust00006@example.com
T100080,CUST00003,05-09-2024,226.73,cust00003@example.com
T101255,CUST00047,31-05-2024,74.42,cust00047@example.com
T100439,CUST00014,08-03-2024,93.83,cust00014@example.com
T100093,CUST00004,03-03-2024,175.42,cust00004@example.com
T100449,CUST00015,16-05-2024,94.2,cust00015@example.com
T102727,CUST00167,02-01-2024,43.69,cust00167@example.com
T103225,CUST00266,18-05-2024,55.09,cust00266@example.com
T100937,CUST00033,06-05-2024,235.43,cust00033@example.com
T101793,CUST00085,06-04-2024,94.42,cust00085@example.com
T101457,CUST00061,05-03-2024,94.12,cust00061@example.com
T100599,CUST00020,22-08-2024,86.95,cust00020@example.com
T100229,CUST00008,17-12-2024,187.29,cust00008@example.com
T101839,CUST00090,02-11-2024,57.97,cust00090@example.com
T102319,CUST00122,04-11-2024,72.88,cust00122@example.com
T102716,CUST00165,20-06-2024,68.79,cust00165@example.com
T103086,CUST00220,08-07-2024,54.49,cust00220@example.com
T101370,CUST00054,25-05-2024,117.71,cust00054@example.com
T101651,CUST00075,07-10-2024,64.25,cust00075@example.com
T100679,CUST00023,27-08-2024,227.14,cust00023@example.com
T102376,CUST00126,21-10-2024,64.51,cust00126@example.com
T102390,CUST00126,01-12-2024,69.96,cust00126@example.com
T101124,CUST00040,16-07-2024,191.39,cust00040@example.com
T101159,CUST00042,26-04-2024,84.97,cust00042@example.com
T103151,CUST00237,04-07-2023,26.18,cust00237@example.com
T100864,CUST00030,17-12-2024,148.13,cust00030@example.com
T102308,CUST00122,31-07-2024,49.11,cust00122@example.com
T102304,CUST00122,25-05-2024,114.54,cust00122@example.com
T100295,CUST00009,18-03-2024,168.78,cust00009@example.com
T102641,CUST00153,21-05-2024,36.32,cust00153@example.com
T101003,CUST00035,10-06-2024,204.48,cust00035@example.com
T100789,CUST00028,18-07-2024,241.04,cust00028@example.com
T102223,CUST00116,08-06-2024,59.35,cust00116@example.com
T101226,CUST00045,22-03-2024,147.59,cust00045@example.com
T102971,CUST00205,03-10-2024,39.78,cust00205@example.com
T102628,CUST00150,06-04-2024,59.63,cust00150@example.com
T100183,CUST00006,26-11-2024,229.15,cust00006@example.com
T100423,CUST00014,08-07-2024,164.05,cust00014@example.com
T102743,CUST00171,21-05-2024,38.45,cust00171@example.com
T101105,CUST00039,30-11-2024,109.56,cust00039@example.com
T101566,CUST00070,22-08-2024,93.4,cust00070@example.com
T103160,CUST00241,09-04-2024,34.98,cust00241@example.com
T100874,CUST00031,02-11-2024,84.32,cust00031@example.com
T101916,CUST00095,04-07-2024,110.9,cust00095@example.com
T100414,CUST00014,02-12-2024,187.41,cust00014@example.com
T100486,CUST00016,27-11-2024,87.73,cust00016@example.com
T100102,CUST00004,11-11-2024,133.44,cust00004@example.com
T101689,CUST00077,06-06-2024,101.18,cust00077@example.com
T101330,CUST00052,21-06-2024,84.43,cust00052@example.com
T101769,CUST00084,17-03-2024,71.56,cust00084@example.com
T100544,CUST00018,26-03-2024,185.08,cust00018@example.com
T102913,CUST00196,23-05-2024,88.01,cust00196@example.com
T100921,CUST00032,11-06-2024,162.86,cust00032@example.com
T100764,CUST00026,04-10-2024,85.7,cust00026@example.com
T103035,CUST00213,05-11-2023,46.58,cust00213@example.com
